DATE,Price
2023-08-21,26097.271215277808
2023-08-13,29421.73295138889
2023-06-16,25788.11968750003
2023-05-15,27347.1801388889
2023-04-30,29370.198055555556
2023-09-17,26545.066076389023
2022-09-02,20112.93642361112
2022-03-27,44925.328055555576
2022-04-15,40293.49048611121
2022-05-02,38733.62017361108
2022-07-13,19624.885347222254
2022-09-03,19874.523020833374
2022-03-04,41013.785416666775
2023-04-28,29352.178611111118
2022-01-11,42245.60027777769
2022-06-27,21062.962604166674
2022-08-08,23808.922013888772
2023-06-22,30109.842118055534
2023-03-14,24855.05000000001
2023-03-17,26326.170312499973
2023-05-08,27995.267743055534
2022-04-07,43539.532222222406
2022-12-24,16845.409826388877
2023-09-16,26568.26850694449
2023-02-01,23176.88399305556
2022-09-15,20013.905868055583
2023-02-07,22995.909513888884
2023-04-12,30032.345138888893
2022-05-26,29460.7504513889
2023-03-02,23444.31940972223
2022-04-30,38590.58274305545
2022-04-14,40767.48677083327
2023-04-01,28486.37850694443
2022-08-11,24393.977743055562
2023-06-25,30654.250381944432
2022-02-06,41648.47277777773
2023-08-03,29181.96565972221
2022-06-17,20718.895138888896
2023-05-27,26750.638993055534
2023-10-12,26772.403854166718
2023-07-18,29965.385590277798
2023-02-19,24653.03229166667
2023-09-10,25832.371145833346
2022-05-29,29181.01940972216
2022-09-09,20722.226493055587
2022-02-22,37462.2689930555
2022-07-22,23159.81673611107
2022-12-23,16842.55024305556
2022-12-08,16938.69010416665
2023-05-30,27811.339583333374
2022-09-21,19025.157708333343
2022-03-22,42463.76743055585
2022-08-23,21414.334270833326
2022-09-07,18916.670416666693
2022-03-05,39181.27649305559
2022-08-27,20142.142152777793
2022-01-04,46487.03156249995
2023-08-07,29095.791249999977
2022-01-28,37100.88854166676
2022-05-07,35897.20548611121
2023-09-04,25903.605034722234
2022-03-01,43674.72826388889
2022-12-17,16716.576284722225
2022-11-10,16956.58055555562
2022-05-15,30133.4325694445
2022-02-20,38825.26267361107
2023-08-24,26304.40097222211
2023-09-25,26224.907013888842
2023-07-29,29355.122604166663
2022-12-28,16654.033298611103
2023-02-05,23223.26895833333
2022-01-23,35482.55732638896
2023-06-18,26536.20319444443
2023-02-20,24663.434930555562
2022-09-17,19965.86600694443
2022-04-22,40175.271736110924
2022-07-24,22672.10788194449
2022-06-10,29674.673993055534
2022-07-19,22527.646215277768
2023-06-10,25873.488993055507
2022-10-26,20534.46746527782
2022-11-06,21222.528333333383
2023-04-06,28033.763923611124
2023-02-02,23831.377638888887
2022-02-05,41571.983159722266
2023-07-03,30851.410520833277
2022-07-30,24056.355937500044
2023-02-18,24623.510034722218
2023-08-22,26001.812430555616
2022-12-10,17178.91815972225
2022-03-03,43191.105555555485
2022-10-29,20777.261597222256
2022-12-06,17017.149027777792
2023-05-18,27177.879583333328
2022-11-16,16713.10482638888
2023-04-11,30123.14722222221
2022-11-17,16620.473194444425
2023-06-30,30592.534687499872
2022-04-28,39629.533472222196
2022-03-08,38652.4709027777
2023-01-14,20808.109791666673
2022-11-21,16063.434097222213
2023-04-05,28376.66229166668
2022-06-04,29723.61333333316
2023-06-07,26715.61923611108
2022-07-15,20792.366770833312
