DATE,btc_Daily_fee,btc_Size_Usage,btc_vSize_Usage
2023-10-20,9.80850761999999,1.07852471e+08,6.8947599e+07
2023-10-19,18.64870878000021,2.39060333e+08,1.39868738e+08
2023-10-18,19.10702136000015,2.33175758e+08,1.4387986e+08
2023-10-17,19.445528189999937,2.74113556e+08,1.61752153e+08
2023-10-16,20.538101849999933,2.36420587e+08,1.40893377e+08
2023-10-15,11.395811419999925,3.14101319e+08,1.66810871e+08
2023-10-14,13.614699729999876,2.57774591e+08,1.45884109e+08
2023-10-13,22.12322943000017,2.09835621e+08,1.3789838e+08
2023-10-12,24.771612710000056,2.27013369e+08,1.63846822e+08
2023-10-11,21.6005342200001,2.35375021e+08,1.59861226e+08
2023-10-10,17.215115050000165,2.86936813e+08,1.60875237e+08
2023-10-09,19.879587210000263,2.82652808e+08,1.54874287e+08
2023-10-08,15.39459141000019,2.73162173e+08,1.47862764e+08
2023-10-07,41.49443834999978,2.71199091e+08,1.70732893e+08
2023-10-06,42.56644864999999,2.32730174e+08,1.59883241e+08
2023-10-05,26.69888465000007,2.14072797e+08,1.38927807e+08
2023-10-04,26.35338269999999,2.27779517e+08,1.30911717e+08
2023-10-03,29.08744009999975,3.06358032e+08,1.63867774e+08
2023-10-02,27.277107750000006,2.81850604e+08,1.56904538e+08
2023-10-01,18.927685779999923,2.49094529e+08,1.40914826e+08
2023-09-30,21.55552342000014,2.39899437e+08,1.37893231e+08
2023-09-29,29.36315436000065,2.51821218e+08,1.4690311e+08
2023-09-28,29.012916670000248,2.50754175e+08,1.45930548e+08
2023-09-27,31.734055429999884,2.66357618e+08,1.55888254e+08
2023-09-26,27.64610498000034,2.34260373e+08,1.35910681e+08
2023-09-25,33.365485490000566,2.51011876e+08,1.44887557e+08
2023-09-24,37.08650941000127,2.45145302e+08,1.45948314e+08
2023-09-23,51.57942328000244,2.59935359e+08,1.55967886e+08
2023-09-22,45.99544894000076,2.10466132e+08,1.28967859e+08
2023-09-21,47.34640060000186,2.26482362e+08,1.37933838e+08
2023-09-20,47.37695080000065,2.41896482e+08,1.45968974e+08
2023-09-19,46.94653264000067,2.32259231e+08,1.37975141e+08
2023-09-18,46.80860925999995,2.71982279e+08,1.55977664e+08
2023-09-17,28.30720797999912,2.56634261e+08,1.48919368e+08
2023-09-16,26.700998639997458,2.61093854e+08,1.54925386e+08
2023-09-15,32.61796492999938,3.19552284e+08,1.87910483e+08
2023-09-14,30.897713890000222,2.72914192e+08,1.61892645e+08
2023-09-13,31.128702210000995,2.45831632e+08,1.45953545e+08
2023-09-12,31.02944449999975,2.27430096e+08,1.39950216e+08
2023-09-11,32.69725456000124,2.44674162e+08,1.58944222e+08
2023-09-10,47.06196051999676,2.4382025e+08,1.46976893e+08
2023-09-09,32.53049267000267,2.5617607e+08,1.50968205e+08
2023-09-08,35.85455886999978,2.14698919e+08,1.32942569e+08
2023-09-07,31.57012848999855,2.4144531e+08,1.45957488e+08
2023-09-06,30.253897690002628,2.08592662e+08,1.32999669e+08
2023-09-05,24.396894269999773,1.91091084e+08,1.24002736e+08
2023-09-04,22.275984709999612,2.42766787e+08,1.48984606e+08
2023-09-03,19.893148249998703,2.65949326e+08,1.56941632e+08
2023-09-02,23.26197841000041,2.59316536e+08,1.5193499e+08
2023-09-01,26.151917780000776,2.54880416e+08,1.50913609e+08
2023-08-31,26.54064023,2.3740529e+08,1.43918525e+08
2023-08-30,19.22098827000003,2.04584319e+08,1.25922794e+08
2023-08-29,21.15115106000018,2.62017058e+08,1.56881254e+08
2023-08-28,16.972956399999973,1.86820131e+08,1.17923979e+08
2023-08-27,13.471948679999354,1.9652497e+08,1.15953244e+08
2023-08-26,16.08621264999957,2.27914563e+08,1.36887834e+08
2023-08-25,18.035864400000378,2.19751936e+08,1.33916578e+08
2023-08-24,17.45846717000004,2.18300386e+08,1.37894909e+08
2023-08-23,19.329584130001027,2.39629609e+08,1.41914454e+08
2023-08-22,18.81110135999984,2.47219037e+08,1.42938741e+08
2023-08-21,16.575861880000208,2.69593541e+08,1.64900152e+08
2023-08-20,14.984985449998183,2.78923666e+08,1.6197911e+08
2023-08-19,16.699382389999588,2.3783502e+08,1.39956971e+08
2023-08-18,22.003224609999535,2.26692703e+08,1.38921833e+08
2023-08-17,18.939209790000465,2.56496895e+08,1.54945693e+08
2023-08-16,18.03889854999944,2.74709105e+08,1.62905315e+08
2023-08-15,18.262779829998788,2.83064144e+08,1.70874871e+08
2023-08-14,18.187309869999076,2.92751875e+08,1.70866422e+08
2023-08-13,13.4827763600003,2.29609835e+08,1.3494464e+08
2023-08-12,19.421388580000382,2.66291225e+08,1.66879623e+08
2023-08-11,23.46538348000164,2.47748186e+08,1.49888878e+08
2023-08-10,24.622762609999793,1.9797253e+08,1.26918748e+08
2023-08-09,27.088854349999295,2.68190018e+08,1.60905668e+08
2023-08-08,29.113107459999306,1.95343899e+08,1.24928738e+08
2023-08-07,22.689546270000946,2.48190419e+08,1.45910335e+08
2023-08-06,16.910309009999917,2.80396569e+08,1.6392501e+08
2023-08-05,21.106991330000355,2.60687472e+08,1.53923992e+08
2023-08-04,22.515295539999755,1.92894085e+08,1.19940882e+08
2023-08-03,23.24083873999961,2.55205902e+08,1.5095841e+08
2023-08-02,20.88584785999982,2.41864313e+08,1.52920764e+08
2023-08-01,18.48016358000054,2.29378925e+08,1.38925643e+08
2023-07-31,16.65975420999936,2.36699614e+08,1.40930574e+08
2023-07-30,17.13087238000159,2.89241091e+08,1.67934497e+08
2023-07-29,16.14425574999998,2.13393866e+08,1.30925206e+08
2023-07-28,20.35879905999972,2.28147858e+08,1.38938867e+08
2023-07-27,20.838440450000526,2.28169884e+08,1.36944187e+08
2023-07-26,18.81831862999953,2.42319811e+08,1.43962864e+08
2023-07-25,17.856388540000456,2.32365971e+08,1.37981108e+08
2023-07-24,26.448897810001533,2.55128868e+08,1.49989324e+08
2023-07-23,25.54846983000001,2.54357228e+08,1.46977295e+08
2023-07-22,45.95214263000097,2.23618577e+08,1.33902599e+08
2023-07-21,22.933509640001763,1.77354407e+08,1.11976129e+08
2023-07-20,22.754653620000315,2.01679752e+08,1.2696677e+08
2023-07-19,18.1637033700001,2.57323323e+08,1.47960039e+08
2023-07-18,19.088797510001122,2.79525505e+08,1.61983863e+08
2023-07-17,17.222962560000234,2.19699067e+08,1.34949832e+08
2023-07-16,15.430010310000878,2.68339095e+08,1.54978294e+08
2023-07-15,16.74064071999969,2.3230438e+08,1.37986912e+08
2023-07-14,22.677253870000747,2.21139513e+08,1.36960632e+08
2023-07-13,19.657573170000365,1.92158634e+08,1.19971956e+08
2023-07-12,19.29161277000028,2.45264666e+08,1.43963224e+08
2023-07-11,16.95226390000085,2.31511609e+08,1.34959001e+08
2023-07-10,16.245124030000174,2.56197459e+08,1.52969336e+08
2023-07-09,13.184168100000292,2.98027131e+08,1.68991491e+08
2023-07-08,14.740246060001006,3.11754943e+08,1.77975174e+08
2023-07-07,19.249550690000966,3.14889056e+08,1.75003063e+08
2023-07-06,19.723986130000117,2.29626684e+08,1.3797696e+08
2023-07-05,21.49504749999955,2.63899894e+08,1.55971785e+08
2023-07-04,22.682337480001166,2.4353265e+08,1.3995687e+08
2023-07-03,25.487702250000076,2.43876443e+08,1.36925368e+08
2023-07-02,23.79482714999981,3.10643806e+08,1.69854252e+08
2023-07-01,25.439943249999647,2.20337385e+08,1.32931361e+08
2023-06-30,34.70273144999729,2.61775019e+08,1.57957534e+08
2023-06-29,37.05847567999994,2.44776807e+08,1.45947847e+08
2023-06-28,29.874540860000007,1.81519509e+08,1.07960041e+08
2023-06-27,31.657187519999905,2.40369933e+08,1.39955392e+08
2023-06-26,32.384853229998804,2.5156212e+08,1.44921856e+08
2023-06-25,29.3848428800003,2.85801082e+08,1.49885308e+08
2023-06-24,33.745560819999476,2.60150739e+08,1.45906108e+08
2023-06-23,40.11549266999893,2.07992148e+08,1.2494602e+08
2023-06-22,44.425758519999604,2.24687983e+08,1.36932022e+08
2023-06-21,43.88821894999929,1.94567866e+08,1.20934328e+08
2023-06-20,37.1624261899993,2.28667295e+08,1.35951318e+08
2023-06-19,31.23665693000062,2.50888307e+08,1.41946413e+08
2023-06-18,30.49645309000129,2.99599415e+08,1.50927295e+08
2023-06-17,40.128835800002,2.39840458e+08,1.39972211e+08
2023-06-16,45.62498800000347,2.53104393e+08,1.50949097e+08
2023-06-15,41.02129533000111,2.62489471e+08,1.47918256e+08
2023-06-14,39.86874709000003,1.95415984e+08,1.19939854e+08
2023-06-13,37.246010070000594,2.64320643e+08,1.4591749e+08
2023-06-12,42.50873273999847,2.66285761e+08,1.56887334e+08
2023-06-11,35.10920663000014,3.25767083e+08,1.62894916e+08
2023-06-10,49.63338241000004,2.92239375e+08,1.53895797e+08
2023-06-09,73.25776495000021,2.7561109e+08,1.68884999e+08
2023-06-08,69.54580715999772,2.60785455e+08,1.52919526e+08
2023-06-07,97.60233793000003,2.18915563e+08,1.34968997e+08
